PractitionerID,FirstName,LastName,Specialty,Phone
PR00062,Jennifer,Deleon,Pediatrics,023.237.0799x836
PR00063,Rachel,Smith,Oncology,(127)086-5768
PR00064,Tiffany,Williams,Emergency,001-282-916-6162x98282
PR00065,David,Hudson,Pediatrics,001-578-675-8185x4743
PR00066,Meagan,Simmons,Oncology,285.952.6387x7327
PR00067,Christine,Palmer,General,014-368-8031x2928
PR00068,Caitlin,Giles,Emergency,001-597-678-1408
PR00069,Lucas,Mccoy,Pediatrics,+1-755-987-3900x9395
PR00070,Mary,Craig,Pediatrics,104.116.1701
PR00071,Jonathan,Williams,Pediatrics,263-835-0736x3066
PR00072,Mark,Hernandez,General,378.203.4703x23806
PR00073,Karen,Morris,Cardiology,256.855.6787x44312
PR00074,Megan,Mclean,Pediatrics,408.221.8523x934
PR00075,Debra,Grant,Pediatrics,(954)753-0122x9286
PR00076,Brianna,Marsh,Emergency,(577)252-0356x3760
PR00077,Cindy,Wiggins,Pediatrics,961-542-4264
PR00078,Emily,Johnson,Emergency,407.902.9389
PR00079,Courtney,Kelly,Oncology,+1-304-997-6528x41476
PR00080,Keith,Marshall,General,382-508-5147x58462
PR00081,Victor,Morales,Pediatrics,(772)375-3961x0376
PR00082,Nicholas,Robinson,Emergency,745-716-9481
PR00083,Manuel,Mendez,Cardiology,806.585.2665x883
PR00084,Craig,Cooper,Oncology,001-101-913-6770x340
PR00085,Victor,Atkins,Cardiology,546.004.6345x01594
PR00086,Lance,Wilson,Emergency,736-111-4830x957
PR00087,David,Johnson,General,(655)204-3809x9339
PR00088,Angela,Parker,Emergency,+1-556-058-6934x69665
PR00089,Susan,Reyes,Emergency,+1-683-977-0187x852
PR00090,Jasmine,Hunt,General,(483)337-2812
PR00091,Elizabeth,Hernandez,General,001-360-695-2549x9511
PR00092,Evan,Martin,Cardiology,402-284-3019
PR00093,Victoria,Miller,Pediatrics,001-235-419-5969x4876
PR00094,Joseph,Silva,Cardiology,578.922.6621x6386
PR00095,Sean,Smith,Emergency,001-346-583-9154x331
PR00096,Amy,Carpenter,Cardiology,014.448.8373
PR00097,Michael,Brown,Pediatrics,281-263-2976
PR00098,Danielle,Bailey,General,460.263.4924
PR00099,Logan,Murray,Oncology,416.325.5791
PR00100,Karen,Walters,Oncology,+1-281-375-8941x9830
PR00101,Nancy,Robinson,General,(590)043-3718
PR00102,Jonathan,Jackson,Emergency,339.192.8431x061
PR00103,Annette,Armstrong,Pediatrics,001-273-949-6532x9493
PR00104,Kevin,Pace,General,(212)210-7197
PR00105,Emma,Gibson,Oncology,832-977-6247x370
PR00106,Lauren,Bell,Pediatrics,3954120915
PR00107,Erin,Stanley,Cardiology,933.566.0275
PR00108,Angela,Anderson,General,064-654-1819x29601
PR00109,Melissa,Anderson,Pediatrics,+1-384-328-1071x5420
PR00110,Whitney,Garcia,Oncology,001-302-374-0760x185
PR00111,Elaine,Flores,Pediatrics,990-583-4828
PR00112,Daniel,Spence,General,+1-172-257-1809x45178
PR00113,Travis,Lambert,Pediatrics,390.509.8003
PR00114,Kelly,Cruz,Cardiology,660-783-3586x9860
PR00115,Tyler,Collier,Oncology,091.262.6445
PR00116,Jared,Rasmussen,General,001-839-400-3208
PR00117,Dustin,Hall,General,242-445-5604x6865
PR00118,Nicole,Hurst,Pediatrics,001-192-871-9272
PR00119,Katelyn,Gonzales,Pediatrics,042-444-9051x254
PR00120,Joseph,Hebert,General,(664)893-6452
PR00121,Lisa,Ayala,Emergency,151-974-9397
PR00122,John,Hart,Cardiology,195-657-4360x70673
PR00123,Jennifer,Jacobs,Cardiology,(756)438-9689x4048
PR00124,Michael,Watson,Oncology,001-923-293-0434x39245
PR00125,Troy,Ross,Emergency,5393833047
PR00126,Carla,Frank,Emergency,+1-002-970-7391x6017
PR00127,Ann,Gray,General,(030)733-4479x36815
PR00128,Todd,Gonzales,Pediatrics,1931731441
PR00129,George,Robertson,Oncology,419-375-8280x79122
PR00130,Adam,Allen,Cardiology,(851)769-7413x59395
PR00131,Luke,Cross,Pediatrics,(330)682-6415x77600
PR00132,Jeremy,Jones,Cardiology,4212401802
PR00133,Andrew,Bennett,Emergency,558-429-4051x8230
PR00134,Richard,Adkins,General,001-964-354-4419x200
PR00135,Johnathan,Mullen,Pediatrics,+1-396-134-5746x4769
PR00136,Rachel,Mitchell,Emergency,156-505-0811x488
PR00137,Megan,Morrow,Emergency,032.450.6937x781
PR00138,Glenn,Foley,General,(448)579-6790x98401
PR00139,Kristen,Walsh,Cardiology,955.320.2457
PR00140,Amy,Mcguire,Cardiology,(927)670-2941x131
PR00141,Shannon,Green,Oncology,845.471.3865x90131
PR00142,Melissa,Jackson,Cardiology,(482)319-8502
PR00143,Emma,Campbell,General,(848)246-3619x668
PR00144,Charles,Lyons,Oncology,110.230.1791x882
PR00145,Taylor,Wilson,Emergency,034-335-3582x74277
PR00146,Samantha,Ellis,Cardiology,001-999-468-5317x570
PR00147,Andrew,Watson,Cardiology,(741)004-3400x0638
PR00148,Brent,Chen,Oncology,(972)273-2167x964
PR00149,Sarah,Peterson,Cardiology,+1-265-916-2580
PR00150,Sergio,Kelley,Emergency,+1-261-280-2059x393
PR00151,Jason,Ingram,Cardiology,2431821260
PR00152,Stephanie,Robinson,Pediatrics,464.781.0995x6143
PR00153,Hannah,Harris,Pediatrics,1701170773
PR00154,Yvette,Green,Oncology,001-752-585-7742x03771
PR00155,Daniel,Jensen,Emergency,001-296-972-1167x16494
PR00156,Nancy,Freeman,Pediatrics,620-703-4161
PR00157,James,Romero,General,534.476.3822
PR00158,Terry,Kelley,Cardiology,517-242-8751
PR00159,John,Carlson,Pediatrics,731-852-5874x746
PR00160,Ashley,Wells,Oncology,321-899-7705
PR00161,Erik,Miller,Pediatrics,850-890-2718x14294
PR00162,Mary,Hanson,General,(927)480-0753x47076
PR00163,Christina,Estes,Oncology,4839222910
PR00164,Kaylee,Richards,Oncology,001-820-115-3517x559
PR00165,Ronald,Davis,Oncology,226-684-2931x87212
PR00166,Russell,Gentry,Cardiology,001-676-190-7584x30578
PR00167,Scott,Osborne,General,(614)646-3058
PR00168,Scott,Miller,Oncology,790-668-9375
PR00169,Lisa,Pierce,General,(372)297-1479
PR00170,Tasha,Hill,Cardiology,128.761.0891x19614
PR00171,Patricia,Williams,Pediatrics,(608)476-1017
PR00172,Ethan,Nelson,Cardiology,+1-409-335-8323x70850
PR00173,Margaret,Reid,Pediatrics,(600)515-6729
PR00174,Cesar,Nelson,Oncology,+1-578-951-5597x774
PR00175,Laura,Myers,Cardiology,9218828825
PR00176,Lisa,Wallace,Emergency,560.368.2398x95290
PR00177,Devin,Bishop,Pediatrics,001-314-721-2890
PR00178,Joseph,Perry,Cardiology,546-875-9713
PR00179,Patricia,Nunez,General,(109)395-7533
PR00180,Allen,York,Pediatrics,(304)279-1641
PR00181,Carlos,Love,Emergency,693-859-3573x1322
PR00182,Kimberly,Arellano,Cardiology,+1-136-420-1587x8816
PR00183,Susan,Thomas,Emergency,349.423.3859x537
PR00184,Charles,Hubbard,Pediatrics,980-394-3788x86939
PR00185,Daniel,Greene,General,(752)722-8139
PR00186,Brittney,Byrd,General,9611291953
PR00187,Marvin,Davis,Pediatrics,(914)034-9768x557
PR00188,Randy,Ortiz,Oncology,384.179.2014x3346
PR00189,Michaela,Avila,General,001-770-385-3018x302
PR00190,Michael,Simmons,Emergency,618.069.9002
PR00191,Patricia,Klein,General,(441)625-2073
PR00192,Michael,Frank,Emergency,368.055.1122x032
PR00193,Michele,Lewis,General,(483)301-1844x407
PR00194,Kelly,Williams,Emergency,001-221-047-6959
PR00195,Yesenia,Watson,Emergency,+1-101-734-0793x027
PR00196,Teresa,Armstrong,General,(018)909-2843x094
PR00197,Stephen,Wilson,Emergency,+1-178-751-7039x52375
PR00198,Philip,Anderson,General,172.471.3787x47590
PR00199,Mary,Murillo,Oncology,3063077154
PR00200,Veronica,Tran,Pediatrics,+1-224-014-3218x7224
PR00201,Donald,Guzman,Oncology,(807)971-4290x8654
PR00202,Nancy,Fischer,Oncology,337-456-1950x804
PR00203,Daniel,Johnson,Emergency,989.204.5560x70887
PR00204,Sarah,Sanchez,Emergency,+1-015-708-5076x01823
PR00205,Michael,Ward,Pediatrics,(662)583-6422
PR00206,James,Gibson,Emergency,001-956-689-9772x3965
PR00207,Dustin,Garcia,Cardiology,(846)078-9340x09246
PR00208,Debbie,Chan,Cardiology,+1-809-101-8109x19080
PR00209,Thomas,Guerrero,Pediatrics,(269)914-4108
PR00210,Jeremy,Stanley,Oncology,001-680-079-3742x046
PR00211,Debbie,Humphrey,Pediatrics,001-414-600-7123x94182
PR00212,Gary,Rodriguez,General,(173)119-2324x305
PR00213,Gregory,Skinner,Emergency,(525)704-1895
PR00214,Kimberly,Caldwell,General,001-737-855-3650x909
PR00215,William,White,Emergency,840-356-3841
PR00216,Cameron,Huffman,Cardiology,+1-142-522-3397x332
PR00217,Brian,Rodriguez,General,535-154-2126x77802
PR00218,Peter,Owens,Emergency,002.668.0020
PR00219,Adriana,Bishop,Cardiology,5599015701
PR00220,Ann,Leon,Emergency,162-088-5435x1152
PR00221,Derek,Kidd,Oncology,814-580-6470
PR00222,Linda,Curry,Cardiology,1023668090
PR00223,Elizabeth,Davis,General,001-800-581-9467x2067
PR00224,Shane,Franco,General,001-341-353-6456x4925
PR00225,Michael,Johnson,Pediatrics,001-913-568-4758
PR00226,Alexandria,Reid,Pediatrics,7716047463
PR00227,Sydney,Anderson,Emergency,+1-647-159-3711x881
PR00228,Robin,Coleman,General,885.574.2024
PR00229,Bethany,Johnson,Emergency,274-945-1932
PR00230,Nathan,Kelly,Cardiology,001-800-319-4285x9227
PR00231,Steven,Steele,Oncology,(470)252-1595
PR00232,John,Guzman,Emergency,(858)772-1373x01972
PR00233,Kenneth,Tucker,Cardiology,(887)354-6128
PR00234,Sarah,Patel,General,887-842-4653x46621
PR00235,Wendy,Lewis,Emergency,005-458-0548x0040
PR00236,Richard,Brown,Emergency,503-547-9918x79037
PR00237,Ronald,Rubio,General,459.311.4579x4015
PR00238,Michael,Brock,General,064-559-3346
PR00239,Matthew,Sullivan,Oncology,650.304.5078x1174
PR00240,Jeffrey,Callahan,Pediatrics,853.830.7172
PR00241,April,Fisher,General,877-264-6487x22838
PR00242,Colleen,Middleton,Oncology,(738)302-4709x95827
PR00243,Shawn,Foster,Pediatrics,065.476.9903x63171
PR00244,Austin,Warren,Oncology,635-674-7814x10026
PR00245,Austin,Mullen,Pediatrics,001-829-909-8800x0614
PR00246,Nicholas,Castro,Oncology,127.871.3252
PR00247,Heather,Nguyen,Oncology,(480)534-9343x4018
PR00248,Andrew,Silva,General,731-786-6250
PR00249,Jose,Harris,Cardiology,207.816.2903x4383
PR00250,Maria,Reed,Emergency,146-225-0061x298
PR00251,Candice,Molina,Cardiology,670-553-8614x11530
PR00252,Jacob,Smith,Oncology,380.853.7147x92482
PR00253,Logan,Singh,Cardiology,(852)556-0213x78202
PR00254,Charles,Johnson,General,001-060-925-3870x117
PR00255,Robert,Grant,Pediatrics,(300)006-4302x059
PR00256,Christopher,Durham,Oncology,331.953.7870
PR00257,Crystal,Scott,Oncology,604-744-0773x0321
PR00258,Charles,Lozano,Emergency,685-607-5326
PR00259,Debra,Martin,Pediatrics,703-751-4978x243
PR00260,Ryan,Rhodes,Oncology,+1-849-626-8830
PR00261,Robert,Berry,Cardiology,(919)282-7941
PR00262,Erika,Wood,Emergency,+1-448-660-0257x79996
PR00263,Elizabeth,Greer,General,7878781209
PR00264,Amber,Perkins,General,1076574270
PR00265,Melissa,Newton,Emergency,(298)558-2496x086
PR00266,Anthony,Estes,Oncology,+1-587-756-7024x558
PR00267,Jeffrey,Marquez,Cardiology,001-836-093-3141x8393
PR00268,Briana,Adams,Cardiology,103-226-0807x2048
PR00269,Jesus,Hester,Cardiology,676-440-2679x0680
PR00270,Edward,Castaneda,Pediatrics,(296)816-0487
PR00271,Angela,Hardy,General,510-829-2386
PR00272,Nancy,Mack,Cardiology,870-120-0152x5606
PR00273,Robert,Cantrell,General,5186056984
PR00274,Phillip,Burton,Cardiology,853.099.5235
PR00275,Daniel,Collins,Cardiology,8956135658
PR00276,Stacey,Garcia,Pediatrics,001-231-403-1585x05183
PR00277,Brian,Torres,Cardiology,(948)761-0132x294
PR00278,Michelle,Martin,General,446.719.1164
PR00279,Charles,Nguyen,Cardiology,+1-968-207-4237
PR00280,Tyler,Johnson,Emergency,(954)145-1369x3913
PR00281,Marcus,Smith,Emergency,001-862-432-3249x759
PR00282,Chris,Chavez,Cardiology,001-755-823-3953
PR00283,Vickie,Foley,General,544.893.0611
PR00284,Tracy,Turner,Pediatrics,024.817.1343
PR00285,Alyssa,Sanchez,Oncology,+1-019-273-8705
PR00286,Caitlin,Valdez,General,(612)110-4739x5276
PR00287,Charles,Parker,Oncology,+1-668-316-2420x12462
PR00288,Lisa,Shelton,Pediatrics,9810238730
PR00289,Chad,Landry,Pediatrics,590.518.5725x609
PR00290,Andrew,Ortega,Emergency,001-963-425-7239x982
PR00291,Joanna,Harrington,Pediatrics,303-553-0952x1423
PR00292,Brianna,Hansen,Pediatrics,497-944-1917x6642
PR00293,Timothy,Calhoun,Cardiology,8986616457
PR00294,Amanda,Berry,Emergency,(567)855-5681x88338
PR00295,Julie,Salinas,Emergency,363.549.8879
PR00296,David,Figueroa,Emergency,001-004-485-8984x870
PR00297,Michael,Monroe,Pediatrics,605-350-4343x716
PR00298,Daniel,Garrett,Cardiology,126-891-5290x8663
PR00299,John,Valenzuela,Cardiology,655.181.3594x985
PR00300,Amanda,Krueger,Oncology,815-621-9962x0690
PR00301,Marcus,Carrillo,Cardiology,989.833.0333
PR00302,Arthur,Thompson,Emergency,001-868-363-9372x804
PR00303,Kenneth,Thomas,Pediatrics,694-527-1662x44298
PR00304,Philip,Rogers,Oncology,+1-529-594-2935
PR00305,Debbie,Wong,General,001-646-702-5588x539
PR00306,Jane,Reyes,Oncology,001-258-178-8247x8752
PR00307,John,Garcia,Cardiology,(456)942-4191
PR00308,Jonathan,Frazier,General,883-798-6406x16926
PR00309,Timothy,Taylor,Pediatrics,115.285.7656x45173
PR00310,Sharon,Fowler,Emergency,9643763354
PR00311,Matthew,Williamson,Pediatrics,+1-116-876-4912x3681
PR00312,Alexander,Jennings,General,(483)748-0798x43077
PR00313,Mercedes,Butler,General,3010688597
PR00314,Shannon,West,General,7596296000
PR00315,Christina,Schneider,Cardiology,(562)460-5577x6334
PR00316,Jennifer,Davis,Emergency,7430938346
PR00317,Christian,Mitchell,Oncology,001-910-393-5122x54822
PR00318,Alexander,Mercado,Oncology,672-499-9905
PR00319,Katelyn,Collins,Emergency,837.995.1215
PR00320,Kerri,Johnson,Pediatrics,(509)564-2883x434
PR00321,Isaac,Watson,General,556.422.9048
PR00322,Rachel,Foster,Cardiology,001-538-209-1592
PR00323,Valerie,Long,Cardiology,7317878166
PR00324,Matthew,Hensley,Emergency,317.169.1952
PR00325,Haley,Kerr,Pediatrics,(199)821-7679x6546
PR00326,Courtney,Walker,Emergency,377.869.6394
PR00327,Joseph,Shepherd,Emergency,416-971-8691x532
PR00328,Sarah,Jones,Oncology,(180)897-5614x242
PR00329,James,Miller,Pediatrics,783-689-6612
PR00330,Jeffrey,Pruitt,General,370-926-4757x31403
PR00331,Lisa,Norris,Pediatrics,(372)479-1931x470
PR00332,Franklin,Waters,Emergency,8566160960
PR00333,Michael,Schroeder,Emergency,185-629-1925
PR00334,Joanne,Huff,General,723-474-8294x3971
PR00335,Richard,Thompson,Pediatrics,597.552.2294x35436
PR00336,Shelby,Salazar,General,329.015.2428x91742
PR00337,Mary,Bryant,General,569-641-6466x5384
PR00338,Dustin,Wallace,Pediatrics,001-668-213-0130x4273
PR00339,Bryan,Klein,General,188.183.0101x25482
PR00340,Brian,Richardson,General,642-715-0391
PR00341,Tara,Oneill,Cardiology,+1-400-723-2335x340
PR00342,Jeffery,Harris,Cardiology,012-618-4013x56482
PR00343,Kyle,Simpson,Oncology,001-731-425-4466x1977
PR00344,Michelle,Ali,Oncology,511.696.5617x49739
PR00345,Eric,Ortiz,General,906-408-3036x15878
PR00346,Linda,Browning,Pediatrics,001-349-504-3778
PR00347,Daniel,Haley,Cardiology,(031)575-1300
PR00348,Natasha,Hamilton,Cardiology,(434)329-5465x5563
PR00349,Kimberly,Taylor,Cardiology,894-495-7011x79077
PR00350,Kayla,Morris,Pediatrics,8850153876
PR00351,Jamie,Hicks,Emergency,031.374.8143
PR00352,Lauren,Webster,Oncology,101-603-9807
PR00353,Kimberly,Anderson,Pediatrics,+1-380-760-0728x3803
PR00354,Sherry,Aguilar,Oncology,336-567-0369
PR00355,Bridget,Dickerson,Cardiology,400-949-7823x7178
PR00356,Christopher,Miles,Pediatrics,+1-453-968-6189x29431
PR00357,Allison,Davis,Cardiology,(244)522-9832
PR00358,Brooke,Stuart,Emergency,9079304610
PR00359,Marcus,Hall,Cardiology,+1-241-546-8621x8616
PR00360,Kristina,Randall,General,001-013-922-8366
PR00361,Danny,Watts,Oncology,001-465-989-2933
PR00362,Jon,Guerra,General,+1-965-220-5314
PR00363,Jennifer,Burke,Cardiology,280.567.0621x660
PR00364,Joseph,Kim,Cardiology,+1-635-502-4496x6421
PR00365,Allen,Graves,Oncology,(994)333-0604
PR00366,Kathryn,Byrd,Oncology,(413)496-2256x296
PR00367,Lucas,Adams,General,(349)801-5631
PR00368,Kelsey,Patterson,Emergency,346.429.8492x510
PR00369,Deanna,Haney,Emergency,287.485.2825x3360
PR00370,Katherine,Brock,Cardiology,001-254-132-7383x93812
PR00371,Reginald,Wolfe,Emergency,278.482.7578x65728
PR00372,Jane,Harrison,Cardiology,441.958.9125x151
PR00373,Ruben,Chung,Pediatrics,001-489-561-4764x0970
PR00374,Ryan,Dixon,Oncology,(048)407-8692x106
PR00375,Sabrina,Villegas,General,555-290-7219x422
PR00376,Sean,Smith,Pediatrics,(893)979-4231x83471
PR00377,Justin,Hudson,General,928-094-2331
PR00378,Jennifer,Hart,Pediatrics,956.317.8055x8562
PR00379,Kayla,Rocha,Cardiology,+1-683-639-8428
PR00380,Kenneth,Carrillo,Cardiology,(278)842-3548x9302
PR00381,Larry,Murphy,Emergency,(679)963-3729
PR00382,Renee,Yates,Emergency,980.848.0597x0599
PR00383,Kristen,Smith,Oncology,9946777342
PR00384,Kimberly,Brown,Cardiology,937.852.7755x028
PR00385,Lindsay,Chambers,Emergency,445.481.4916
PR00386,Jessica,Smith,Pediatrics,001-462-650-3716x22012
PR00387,Jeffrey,Hunt,Emergency,+1-276-773-3622x217
PR00388,Ashley,Hood,Cardiology,490.333.2767x7368
PR00389,Michele,Valdez,Emergency,+1-085-502-7837x0693
PR00390,Gabrielle,Morrison,Cardiology,001-810-861-8971x760
PR00391,Shirley,Sanchez,Emergency,825.312.0155
PR00392,Thomas,Sanders,Pediatrics,278.765.3903
PR00393,Lori,Mullins,Cardiology,253.614.4199x80379
PR00394,Jeremiah,Andrews,General,574.724.7103
PR00395,Daniel,Richard,General,715-434-0518x9708
PR00396,Martha,Murray,General,001-780-051-2348x333
PR00397,Kristy,Clayton,Emergency,+1-217-749-2160x491
PR00398,Victoria,Brown,General,001-047-460-7065
PR00399,Lisa,Martin,Emergency,001-241-108-3128x333
PR00400,Marvin,Brown,Oncology,084-898-6888
PR00401,Lisa,Wong,Pediatrics,791-768-7249
PR00402,Ashley,Garcia,Oncology,(140)112-8572
PR00403,Julie,Garcia,Pediatrics,001-327-928-8780x5466
PR00404,Shawn,Ruiz,Pediatrics,001-570-975-7915x041
PR00405,Melissa,Harrison,Pediatrics,001-101-837-5714x6661
PR00406,Beverly,Ward,Cardiology,559.236.3460x819
PR00407,Matthew,Camacho,Oncology,197.657.3935
PR00408,Thomas,Mendoza,Oncology,350.078.6681x681
PR00409,John,Henderson,Oncology,393-628-4409x515
PR00410,Robert,Rodgers,Oncology,+1-475-786-8527
PR00411,Maria,Stanley,Emergency,+1-615-657-4527x563
PR00412,Hannah,Thompson,Pediatrics,040-753-9686x148
PR00413,Kimberly,Arnold,Cardiology,001-735-645-3110
PR00414,Mary,Blair,Emergency,(978)469-6613x139
PR00415,Joseph,Weiss,Pediatrics,+1-128-576-5405
PR00416,Nicholas,Ross,Oncology,001-583-442-8375x80664
PR00417,Harold,Wheeler,Oncology,096.040.1261x818
PR00418,Jermaine,Williams,Emergency,+1-391-139-5673x29896
PR00419,Mary,Sandoval,Cardiology,234-618-4127
PR00420,Andrew,Haynes,Oncology,(063)198-5002x060
PR00421,Courtney,White,Cardiology,6796161227
PR00422,Diana,Santiago,Cardiology,+1-930-105-8021x1827
PR00423,Sherry,Gonzales,Cardiology,(512)802-7551
PR00424,James,Peterson,Emergency,+1-657-887-7298x605
PR00425,Kristopher,Harrell,General,393.308.0042x5642
PR00426,Jaclyn,Davis,Cardiology,220.685.7153x154
PR00427,Martin,Olson,Cardiology,001-278-771-9415x61314
PR00428,Rebekah,Miller,Pediatrics,557-775-4457x92237
PR00429,Daniel,Black,Pediatrics,410.575.9989x472
PR00430,Marie,Lee,Oncology,+1-165-386-7472
PR00431,Lisa,Compton,Pediatrics,+1-777-515-9224x5948
PR00432,Nicholas,Henderson,Pediatrics,(685)227-6103
PR00433,Rhonda,Willis,General,(096)179-6230x6742
PR00434,Raymond,Golden,Pediatrics,+1-368-176-3457x073
PR00435,Richard,White,Emergency,478-153-0602x8118
PR00436,Marcus,Gonzalez,General,043-993-1820
PR00437,Janice,Gibson,Pediatrics,+1-979-735-1308x103
PR00438,Angela,Kim,Pediatrics,(476)471-0331x1709
PR00439,Jaclyn,Farrell,Emergency,(198)967-2584x296
PR00440,Deborah,Rogers,Emergency,477.914.0771x7193
PR00441,Charles,Elliott,Oncology,8249899545
PR00442,Jonathon,Hardy,Cardiology,684.309.8067x49348
PR00443,Peter,Haney,Oncology,(450)069-4643x039
PR00444,Jennifer,Reyes,Oncology,001-427-494-4276x4538
PR00445,Garrett,Terry,Oncology,+1-963-052-5119x7084
PR00446,Christopher,Martin,General,(393)667-7740
PR00447,David,Cox,Cardiology,(707)336-1635
PR00448,Sally,Jacobs,Cardiology,+1-450-648-2638x121
PR00449,Christopher,Clark,Cardiology,(182)696-5771x90235
PR00450,Nicole,Travis,Oncology,+1-964-265-5349x2710
PR00451,Keith,Hicks,Pediatrics,(533)242-9156
PR00452,Shawna,Mcdowell,Emergency,(326)163-0936
PR00453,Misty,Wells,Pediatrics,043-687-8112
PR00454,Alexander,Harris,Cardiology,113-762-8360
PR00455,Ryan,Perry,Cardiology,+1-016-513-1647x27513
PR00456,Angela,Fowler,Emergency,(019)889-4721
PR00457,Tiffany,Calhoun,Cardiology,460-592-4189x3224
PR00458,Phillip,Turner,Oncology,430-770-4444
PR00459,Amanda,Jones,Emergency,(765)507-6671
PR00460,Matthew,Alvarez,Cardiology,001-768-056-5372x109
PR00461,Madison,Leonard,General,+1-385-200-0850x49173
PR00462,Adam,Barr,Emergency,372.453.6197x65523
PR00463,Tammy,Rivera,General,330-581-0156
PR00464,Rebecca,Willis,Cardiology,(073)519-7585
PR00465,David,Herman,Cardiology,+1-781-318-3121x9768
PR00466,Jared,Peterson,General,001-321-652-7216x7434
PR00467,Robert,Hill,Oncology,001-900-842-2528x453
PR00468,Carol,Bishop,General,+1-672-772-4754
PR00469,Evelyn,Murray,Pediatrics,012-981-6808x6444
PR00470,Alexis,Abbott,Cardiology,+1-629-291-9361x19915
PR00471,Carla,Rojas,General,001-133-028-3843x10221
PR00472,David,Luna,Pediatrics,(284)517-0069x6244
PR00473,Amy,Chen,Cardiology,001-023-837-4045x4304
PR00474,Ryan,Harris,Pediatrics,080-989-5389
PR00475,Danielle,Morris,Oncology,+1-959-566-6991
PR00476,Patrick,Cruz,Cardiology,001-368-906-1766x196
PR00477,Joshua,Everett,Cardiology,499.589.8176x10084
PR00478,Barbara,Miller,Cardiology,(149)915-4892x17059
PR00479,Sydney,Scott,Cardiology,(230)882-2947x68371
PR00480,Kevin,Warren,General,+1-184-680-2156x109
PR00481,Robert,Harris,Pediatrics,178.540.4131
PR00482,Derrick,Watson,Cardiology,5480688992
